StudentID,StudentName,Gender,ContactNumber,City,CourseID,EnrollmentDate
STU-027,Reyansh Menon,F,9690347116,Bengaluru,CRS-003,2025-02-17
STU-028,Anil Verma,F,9327416584,Vijayawada,CRS-003,2025-02-13
STU-029,Vikram Menon,F,9570406376,Kurnool,CRS-001,2025-01-12
STU-030,Rohan Reddy,F,9122585366,Vijayawada,CRS-005,2025-03-08
STU-031,Aarav Reddy,M,9345824373,Chennai,CRS-001,2025-01-15
STU-032,Aditya Singh,M,9399012686,Kurnool,CRS-002,2025-02-01
STU-033,Reyansh Pillai,F,9360916298,Kurnool,CRS-004,2025-02-16
STU-034,Sai Reddy,F,9480424119,Tirupati,CRS-004,2025-02-24
STU-035,Anil Pillai,M,9823019672,Chennai,CRS-001,2025-01-17
STU-036,Ramesh Nair,M,9366992705,Vijayawada,CRS-002,2025-02-01
STU-037,Kavya Rao,F,9297018781,Vizag,CRS-004,2025-02-17
STU-038,Anil Reddy,F,9967607278,Chennai,CRS-001,2025-01-25
STU-039,Sneha Sharma,M,9909134796,Vijayawada,CRS-002,2025-01-28
STU-040,Meera Gupta,M,9530613729,Hyderabad,CRS-002,2025-01-27
STU-041,Aarav Iyer,F,9941889393,Kurnool,CRS-003,2025-02-14
STU-042,Suresh Pillai,F,9266211829,Vijayawada,CRS-003,2025-02-07
STU-043,Vivaan Verma,M,9903132646,Warangal,CRS-001,2025-01-06
STU-044,Divya Gupta,M,9161073976,Chennai,CRS-002,2025-01-17
STU-045,Pooja Reddy,M,9533550699,Chennai,CRS-005,2025-03-08
STU-046,Divya Verma,M,9765055833,Chennai,CRS-004,2025-02-28
STU-047,Divya Singh,F,9379995032,Vijayawada,CRS-003,2025-02-08
STU-048,Karthik Iyer,M,9821221887,Vizag,CRS-004,2025-02-20
STU-049,Ajay Reddy,M,9592080329,Chennai,CRS-001,2025-01-22
STU-050,Arjun Singh,F,9242224154,Warangal,CRS-001,2025-01-12
STU-051,Diya Patel,M,9570497096,Vizag,CRS-005,2025-03-21
STU-052,Priya Sharma,F,9812308209,Chennai,CRS-002,2025-01-23
STU-053,Sai Reddy,M,9392431670,Vizag,CRS-005,2025-03-07
STU-054,Suresh Nair,M,9838194420,Vizag,CRS-005,2025-03-16
STU-055,Karthik Sharma,M,9781057736,Tirupati,CRS-003,2025-02-02
STU-056,Aarav Nair,M,9784095277,Vizag,CRS-002,2025-01-29
STU-057,Sneha Pillai,F,9702269164,Hyderabad,CRS-001,2025-01-07
STU-058,Sunil Pillai,M,9685823118,Hyderabad,CRS-003,2025-02-19
STU-059,Sneha Rao,F,9236843584,Hyderabad,CRS-003,2025-02-12
STU-060,Sunil Sharma,F,9325567963,Vijayawada,CRS-001,2025-01-16
STU-061,Naveen Singh,F,9766430218,Bengaluru,CRS-002,2025-01-20
STU-062,Kiran Rao,F,9126614158,Bengaluru,CRS-003,2025-02-14
STU-063,Kiran Menon,M,9386480450,Bengaluru,CRS-001,2025-01-17
STU-064,Anil Sharma,F,9338836384,Vijayawada,CRS-004,2025-02-21
STU-065,Manoj Kumar,M,9125409494,Vijayawada,CRS-004,2025-02-20
STU-066,Karthik Reddy,F,9477040284,Tirupati,CRS-005,2025-03-11
STU-067,Aarav Reddy,F,9291735734,Vizag,CRS-001,2025-01-08
STU-068,Pooja Iyer,F,9882269302,Warangal,CRS-004,2025-03-01
STU-069,Priya Reddy,F,9719106699,Vijayawada,CRS-003,2025-02-02
STU-070,Suresh Iyer,M,9658260221,Vijayawada,CRS-003,2025-02-14
STU-071,Aditya Menon,F,9769108025,Warangal,CRS-001,2025-01-14
STU-072,Priya Patel,F,9450236225,Tirupati,CRS-003,2025-02-18
STU-073,Reyansh Kumar,F,9813962536,Tirupati,CRS-002,2025-02-03
STU-074,Divya Patel,F,9688343096,Hyderabad,CRS-003,2025-02-10
STU-075,Arjun Iyer,F,9599277266,Kurnool,CRS-004,2025-02-16
STU-076,Priya Gupta,M,9807435606,Chennai,CRS-003,2025-02-17
STU-077,Vikram Menon,F,9200273738,Vijayawada,CRS-003,2025-02-08
STU-078,Kiran Kumar,M,9126226563,Hyderabad,CRS-002,2025-01-30
STU-079,Pooja Reddy,F,9545002643,Vijayawada,CRS-004,2025-02-25
STU-080,Saanvi Kumar,M,9804436922,Hyderabad,CRS-001,2025-01-18
STU-081,Rohan Rao,F,9153921577,Vijayawada,CRS-001,2025-01-19
STU-082,Reyansh Gupta,F,9910943524,Kurnool,CRS-005,2025-03-17
STU-083,Aadhya Singh,F,9270894498,Kurnool,CRS-004,2025-02-18
STU-084,Naveen Kumar,F,9922286180,Kurnool,CRS-002,2025-01-23
STU-085,Kavya Reddy,F,9351785565,Vizag,CRS-003,2025-02-11
STU-086,Sunil Singh,M,9248578017,Bengaluru,CRS-002,2025-01-27
STU-087,Suresh Rao,M,9168965204,Tirupati,CRS-004,2025-02-20
STU-088,Sneha Gupta,F,9166857303,Vijayawada,CRS-004,2025-02-22
STU-089,Sunil Verma,M,9922050912,Tirupati,CRS-004,2025-02-10
STU-090,Diya Patel,F,9997356828,Tirupati,CRS-005,2025-03-18
STU-091,Kiran Verma,M,9624232414,Vijayawada,CRS-003,2025-02-14
STU-092,Meera Sharma,F,9460916347,Tirupati,CRS-002,2025-01-29
STU-093,Ajay Rao,M,9523076025,Hyderabad,CRS-001,2025-01-25
STU-094,Aadhya Rao,F,9295130056,Hyderabad,CRS-003,2025-02-13
STU-095,Ananya Kumar,F,9450948014,Warangal,CRS-004,2025-02-18
STU-096,Naveen Iyer,F,9996478772,Chennai,CRS-004,2025-02-10
STU-097,Ramesh Singh,M,9475767056,Vijayawada,CRS-001,2025-01-25
STU-098,Vivaan Sharma,M,9314061901,Hyderabad,CRS-005,2025-03-05
STU-099,Rohan Rao,F,9818825964,Chennai,CRS-005,2025-03-07
STU-100,Kavya Pillai,F,9923450567,Warangal,CRS-002,2025-02-03
STU-101,Pooja Pillai,M,9935147672,Bengaluru,CRS-003,2025-02-04
STU-102,Divya Sharma,F,9718257024,Tirupati,CRS-004,2025-02-16
STU-103,Aditya Verma,M,9209415691,Vizag,CRS-005,2025-03-04
STU-104,Kiran Verma,M,9472807202,Tirupati,CRS-003,2025-02-03
STU-105,Priya Menon,F,9113585139,Tirupati,CRS-004,2025-02-13
STU-106,Aadhya Nair,F,9859466878,Bengaluru,CRS-004,2025-02-15
STU-107,Ramesh Singh,F,9761330848,Kurnool,CRS-004,2025-02-23
STU-108,Deepak Pillai,F,9446071904,Vijayawada,CRS-001,2025-01-13
STU-109,Sunil Gupta,M,9905817775,Kurnool,CRS-005,2025-03-20
STU-110,Vikram Iyer,F,9130816384,Kurnool,CRS-003,2025-02-06
STU-111,Meera Kumar,F,9956665975,Vizag,CRS-003,2025-02-09
STU-112,Sunil Verma,F,9696776072,Hyderabad,CRS-005,2025-03-07
STU-113,Aditya Kumar,F,9624606470,Vijayawada,CRS-004,2025-03-02
STU-114,Suresh Gupta,F,9951405188,Hyderabad,CRS-001,2025-01-14
STU-115,Rohan Iyer,M,9428786222,Warangal,CRS-004,2025-02-27
STU-116,Priya Nair,F,9900942073,Warangal,CRS-003,2025-02-15
STU-117,Karthik Patel,F,9347538338,Chennai,CRS-002,2025-01-25
STU-118,Sai Pillai,M,9305665554,Vijayawada,CRS-004,2025-02-18
STU-119,Ramesh Verma,F,9207939087,Vijayawada,CRS-003,2025-02-08
STU-120,Diya Rao,F,9115191689,Bengaluru,CRS-003,2025-02-02
STU-121,Vivaan Singh,F,9848846217,Bengaluru,CRS-004,2025-02-13
STU-122,Anil Sharma,F,9604011128,Kurnool,CRS-004,2025-02-20
STU-123,Ishaan Sharma,F,9612957813,Chennai,CRS-001,2025-01-17
STU-124,Meera Reddy,M,9262915636,Bengaluru,CRS-005,2025-03-10
STU-125,Aditya Kumar,M,9699226355,Tirupati,CRS-005,2025-03-20
STU-126,Kiran Verma,M,9932894596,Tirupati,CRS-004,2025-02-24
STU-127,Manoj Verma,F,9427899537,Hyderabad,CRS-005,2025-03-04
STU-128,Naveen Kumar,M,9384161612,Chennai,CRS-002,2025-01-22
STU-129,Ishaan Singh,M,9268075622,Hyderabad,CRS-004,2025-02-24
STU-130,Suresh Verma,F,9412737284,Hyderabad,CRS-002,2025-01-24
STU-131,Suresh Patel,F,9176428684,Vijayawada,CRS-003,2025-02-21
STU-132,Divya Menon,M,9556489494,Chennai,CRS-005,2025-03-08
STU-133,Rahul Rao,F,9987588450,Bengaluru,CRS-001,2025-01-06
STU-134,Ishaan Patel,F,9571537429,Chennai,CRS-004,2025-02-19
STU-135,Suresh Iyer,F,9637377910,Kurnool,CRS-004,2025-02-12
STU-136,Pooja Sharma,F,9888699799,Warangal,CRS-005,2025-03-09
STU-137,Aarav Reddy,M,9824022357,Hyderabad,CRS-003,2025-02-19
STU-138,Vivaan Rao,F,9657233178,Kurnool,CRS-003,2025-02-06
STU-139,Divya Iyer,F,9197970787,Kurnool,CRS-003,2025-02-14
STU-140,Ananya Nair,M,9272684373,Warangal,CRS-004,2025-02-25
STU-141,Manoj Menon,F,9973559879,Hyderabad,CRS-004,2025-02-12
STU-142,Ananya Patel,F,9224469868,Tirupati,CRS-005,2025-03-01
STU-143,Vikram Singh,F,9543721204,Hyderabad,CRS-002,2025-01-31
STU-144,Diya Verma,F,9771527524,Kurnool,CRS-001,2025-01-11
STU-145,Karthik Singh,M,9409268943,Kurnool,CRS-004,2025-02-13
STU-146,Aarav Menon,M,9862123506,Bengaluru,CRS-003,2025-02-18
STU-147,Aarav Singh,F,9200082623,Vijayawada,CRS-001,2025-01-19
STU-148,Sai Menon,M,9635126623,Vizag,CRS-005,2025-03-09
STU-149,Aadhya Gupta,F,9361704064,Kurnool,CRS-005,2025-03-05
STU-150,Saanvi Kumar,M,9174958005,Vizag,CRS-004,2025-02-20
